iteraties,HCRandom2HollandFalse,HCRandom3HollandFalse,HCRandom4HollandFalse,HCRandom5HollandFalse,HCRandom6HollandFalse,HCRandom7HollandFalse,HCRandom10NederlandFalse,HCRandom11NederlandFalse,HCRandom12NederlandFalse
1,6959.9812,8939.9668,9419.9605,9899.9574,9879.9544,9859.9441,8104.91924576,8593.38582203,9251.34652373
2,7459.9767,7939.9699,9419.9622,9899.9552,9879.9534,9859.9497,8274.41867119,8423.90009661,8573.36532203
3,6959.9795,8439.9696,9419.9619,9899.9544,9879.9498,9859.945,8443.90969661,8762.88974746,8912.34307288
4,7459.9804,8439.97,9919.9568,9899.9542,9879.9515,9859.9446,8782.89334746,8254.41257119,8742.86104746
5,6959.979,8439.9708,9919.9591,9899.952,9879.9519,9859.944,7935.42682034,8254.40747119,9251.34022373
6,6959.979,8939.9657,9419.959,9899.9542,9879.9476,9859.9422,8952.38167288,8762.88614746,9081.83909831
7,7459.9769,8939.9683,9919.9594,9899.9551,9879.9523,9859.9405,8443.91059661,8762.86634746,8573.38552203
8,6959.9809,8939.9652,9419.9603,9899.9486,9879.9493,9859.9427,8443.91339661,8932.37707288,9251.34152373
9,6959.9805,8439.9701,9419.963,9899.9595,9879.9487,9859.9421,8104.93214576,8593.37402203,9251.34922373
10,7459.9782,8439.9684,9419.9626,9899.9497,9879.9555,9859.9491,8104.94154576,8762.87704746,9081.83429831
11,6959.9776,8939.9681,9419.9632,9899.952,9879.9507,9859.945,8104.93224576,8423.89929661,9251.33482373
12,6959.979,9439.9655,9419.965,9899.9528,9879.9496,9859.9463,8443.90159661,8254.39947119,9081.85659831
13,7459.9793,8439.9696,9419.9615,9899.9586,9879.9482,9859.9466,8274.41957119,8762.88314746,8573.37152203
14,6959.9792,8439.9699,9419.9618,9899.9544,9879.9536,9859.9459,8104.92814576,8762.87494746,8742.86814746
15,7959.9772,8439.9706,9919.9573,9899.9518,9879.9476,9859.9458,8443.91769661,8254.40377119,8742.86604746
16,7459.979,8939.9668,9919.9567,9899.9541,9879.9533,9859.9466,8274.41977119,8593.38292203,8742.86544746
17,7459.977,8439.9711,9919.9559,9899.949,9879.9505,9859.9509,8443.91739661,8593.40262203,8912.35917288
18,6959.9774,8939.9664,9919.96,9899.9536,9879.9508,9859.9464,8613.41072203,8932.35377288,8912.34257288
19,6959.9791,8439.9705,9419.9627,9899.9499,9879.9519,9859.9486,8274.43147119,8762.89244746,8912.37207288
20,6959.9788,8939.9659,9419.9626,9899.9552,9879.9528,9859.9461,8274.41547119,8762.88014746,8742.87364746
21,6959.9775,8939.9667,9419.9614,9899.9595,9879.9518,9859.9449,8443.90289661,8423.90019661,8912.35857288
22,7459.9785,8439.971,9419.9555,9899.9526,9879.9484,9859.9454,8274.40987119,8762.87594746,8742.86574746
23,6959.9795,8439.9685,9419.9613,9899.9489,9879.9524,9859.9463,8613.39792203,8762.87614746,8912.35977288
24,6959.9778,8439.973,9419.9591,9899.9508,9879.948,9859.947,8782.88704746,8423.90469661,8573.37642203
25,6959.978,8939.9665,9919.9546,9899.9575,9879.9512,9859.9394,8104.92484576,8423.90149661,8912.36797288
26,6959.98,8439.9703,9419.9619,9899.9549,9879.9522,9859.9431,8274.42647119,8932.36277288,9081.85509831
27,7459.9771,8939.9676,9419.9583,9899.9553,9879.949,9859.9438,8782.88324746,8593.40322203,8742.87044746
28,6959.9794,8939.9662,9919.9552,9899.9506,9879.9473,9859.9427,8274.41387119,8423.88509661,8912.35347288
29,7459.9765,8439.9729,9419.9632,9899.9514,9879.9486,9859.9432,8104.93564576,8593.38972203,8912.34527288
30,7459.9782,8439.9667,9419.9611,9899.9559,9879.9547,9859.9444,8104.96224576,8762.87094746,8912.36767288
31,6959.9775,8439.9729,9419.9593,9899.9545,9879.9506,9859.9458,8274.41867119,8254.40327119,8573.37972203
32,6959.9784,8939.966,9419.9634,9899.9586,9879.9538,9859.946,8274.42597119,8762.87494746,9081.83749831
33,7459.9777,8939.9668,9419.9656,9899.9543,9879.9474,9859.9491,8613.39612203,8593.38142203,8912.35307288
34,7959.9767,8439.9721,9419.9621,9899.9527,9879.9493,9859.9442,7935.44232034,8762.87724746,8912.36047288
35,6959.9774,8439.97,9419.9607,9899.9523,9879.9509,9859.9389,8952.38867288,8593.39162203,8742.85914746
36,6959.9804,8439.9731,9419.9621,9899.9564,9879.9494,9859.9453,8443.91179661,8593.38302203,8742.86734746
37,6959.9794,8939.9664,9419.9611,9899.9526,9879.9506,9859.9463,8104.91984576,8423.89919661,8742.86964746
38,6959.9795,8939.9666,9419.9642,9899.9556,9879.9511,9859.9475,8613.39912203,8423.88779661,8912.36077288
39,7459.9793,8939.9647,9419.9622,9899.9549,9879.9456,9859.9465,8104.93204576,8423.89779661,8912.35837288
40,7459.9769,8939.9676,9919.9554,9899.9489,9879.9513,9859.9414,8613.39472203,8254.41207119,8912.36917288
41,7459.9788,8939.9677,9419.9588,9899.9537,9879.9468,9859.9471,8274.41937119,8932.37587288,8403.87629661
42,7459.9766,9439.9654,9419.9634,9399.9614,9879.952,9859.9449,8274.42257119,8762.88584746,8573.38902203
43,6959.9788,8439.9672,9419.9632,9899.9568,9879.9453,9859.9444,8104.93084576,8762.86884746,8742.87914746
44,6959.9777,8439.9719,9419.9615,9399.9548,9879.9499,9859.9479,8104.93804576,8423.90639661,8742.86754746
45,7459.9779,8439.9733,9419.9603,9899.9529,9879.951,9859.9441,7935.43992034,8762.87064746,8912.35327288
46,7459.9784,8939.9661,9419.961,9899.9495,9879.952,9859.9431,8613.40622203,8423.90109661,8912.35137288
47,6959.979,8939.9722,9419.9658,9899.953,9879.9493,9859.946,8104.92664576,8762.86544746,8403.86629661
48,7459.9785,8939.9661,9419.9604,9899.9564,9879.9485,9859.9447,8443.91439661,8423.92109661,8912.36627288
49,7459.9766,8939.9675,9419.9635,9899.9504,9879.9464,9859.9388,8104.93684576,8593.39712203,8912.37207288
50,6959.9774,8939.9677,9419.9625,9899.9567,9879.9507,9859.9514,8782.88774746,8423.90189661,8742.84864746
51,6959.978,8939.9672,9919.9575,9899.9556,9879.9485,9859.9482,8274.41437119,8593.39132203,8912.35067288
52,7459.9775,8939.9663,9419.9622,9899.9536,9879.952,9859.9401,8443.90309661,8423.87769661,8912.36727288
53,6959.9785,8439.9722,9919.9615,9899.9537,9879.9483,9859.9446,8443.91999661,8762.86944746,8912.36667288
54,6959.9788,8439.9703,9419.9618,9899.9493,9879.9511,9859.9534,8104.92394576,8762.87194746,8742.86284746
55,6959.9787,8939.9652,9419.9598,9899.9564,9879.9548,9859.9438,8443.90549661,8254.40767119,9081.84279831
56,7459.9785,8439.9718,9919.9619,9899.9525,9879.9477,9859.9458,8274.43107119,8254.40497119,8912.36447288
57,6959.9772,8439.9696,9419.9635,9899.9509,9879.9543,9859.9479,8443.89799661,8254.40257119,8573.38132203
58,6959.9799,8939.967,9419.9633,9899.9538,9879.9493,9859.9433,8274.41267119,8593.38422203,8912.35617288
59,6959.9791,8939.9691,9419.957,9899.9527,9879.9503,9859.9465,8613.40092203,8423.90219661,9081.83829831
60,7459.9764,8439.9722,9419.96,9899.9581,9879.9487,9859.9439,8443.91069661,8593.36972203,8573.38162203
61,6959.9804,8439.9675,9919.9588,9899.9553,9879.9474,9859.9511,8104.93064576,8254.41507119,8742.85634746
62,6959.9776,8439.9695,9419.9614,9899.9539,9879.9502,9859.9442,7765.94809492,8762.86764746,8912.35967288
63,7959.9774,8939.9661,9919.9579,9899.9554,9879.947,9859.9453,8274.41967119,8254.40637119,8912.35047288
64,6959.9793,8439.9695,8919.9634,9399.9556,9879.9497,9859.9441,8104.92814576,8762.87184746,9081.83859831
65,6959.9782,8939.9692,9419.9599,9899.954,9879.9521,9859.9435,8274.42327119,8423.90099661,8742.87694746
66,7459.9777,8439.9704,9419.9592,9899.9584,9879.9502,9859.9466,8443.92029661,8593.38892203,8573.38192203
67,7459.9777,8939.9658,9419.9575,9899.9513,9879.955,9859.9452,8443.91529661,8593.38252203,9251.34502373
68,6959.9774,8939.9678,9419.964,9899.9542,9879.9538,9859.9425,8613.39462203,8593.38762203,8573.39802203
69,7459.9774,8439.9704,9419.9617,9899.9526,9879.9487,9859.9475,8613.40972203,8593.39782203,8573.37392203
70,7459.9778,8439.9706,9919.9567,9899.9539,9879.9487,9859.9457,8274.42047119,8762.87014746,9251.33892373
71,7459.9782,8939.968,9419.9612,9899.9552,9879.9512,9859.944,8613.39282203,8762.86724746,9081.84489831
72,6959.9781,8439.9683,9419.9639,9899.9484,9879.9519,9859.9443,8104.92134576,8593.38672203,8742.86174746
73,7459.9772,8439.9685,9419.9649,9899.9534,9879.9461,9859.9482,8782.88504746,8762.90044746,8742.85514746
74,6959.9788,8439.969,9419.9562,9899.9528,9879.9478,9859.948,8613.39002203,8423.88669661,8912.36567288
75,6959.9766,8939.9655,9419.9583,9899.9553,9879.9515,9859.9515,8613.40442203,8762.89064746,8742.86804746
76,6959.9804,8439.9701,9919.9563,9899.953,9879.9463,9859.945,8104.92734576,8593.39172203,8742.88114746
77,6959.979,8939.967,9419.961,9899.9475,9879.9557,9859.9435,8104.93434576,8762.88794746,8742.86794746
78,6959.9786,8939.969,9419.9605,9899.9481,9879.9503,9859.9462,8274.41287119,8762.86634746,8742.86954746
79,6959.9788,8939.9665,9419.9609,9899.955,9879.9497,9859.9445,8782.88584746,8423.89649661,8912.35727288
80,7459.9781,8439.9707,9419.9572,9899.9551,9879.9495,9859.9413,8443.91889661,8423.89609661,8742.85264746
81,7459.9787,8439.9707,9919.9601,9899.9559,9879.9473,9859.9443,8104.91954576,8593.39522203,8742.87094746
82,7459.9766,8939.9695,9919.9558,9899.9553,9879.948,9859.9438,8443.92419661,8593.39232203,8912.35327288
83,7459.9792,8439.968,9919.9581,9899.9547,9879.956,9859.9423,8443.90929661,8762.87594746,8742.87534746
84,7459.978,8939.9661,9419.9618,9899.9532,9879.9478,9859.9441,8274.42507119,8254.41227119,8742.87464746
85,6959.9789,8439.9651,9419.9634,9899.9535,9879.948,9859.9453,8443.90089661,8254.41397119,9081.84179831
86,6959.981,8439.9695,9419.9641,9899.9554,9879.9486,9859.9428,8613.40832203,8593.38422203,8234.40157119
87,7459.9788,8439.9716,9919.9558,9899.9509,9879.9456,9859.9446,8443.89659661,8762.88464746,8573.38672203
88,6959.9782,8439.9729,9419.9584,9899.9557,9879.9493,9859.9427,8443.91159661,8762.87094746,8742.87414746
89,7459.9776,8939.9693,9419.9622,9899.9542,9879.95,9859.9432,8104.92064576,8254.39857119,8742.86184746
90,7459.9773,8439.9709,9419.9603,9899.9516,9879.9496,9859.9477,8274.42827119,8762.87414746,8742.86314746
91,7459.978,8439.9717,9419.9624,9899.9564,9879.9511,9859.9379,7935.44322034,8762.86904746,9081.83589831
92,6959.9771,8439.9685,9419.9617,9899.9563,9879.9501,9859.9431,8274.41197119,8254.40917119,8742.85624746
93,7459.9793,8939.9672,9419.9623,9899.9525,9879.9522,9859.9429,8274.42187119,8762.86414746,8742.87184746
94,6959.9776,8439.9672,9419.9585,9899.9559,9879.9496,9859.9477,8443.90339661,8762.87154746,8742.86224746
95,7459.9772,8439.9734,9419.9621,9899.95,9879.9474,9859.9485,8274.41487119,8932.35117288,8912.35627288
96,6959.9809,8939.9667,9919.96,9899.9543,9879.9531,9859.9496,8443.90739661,8762.88094746,8742.87844746
97,7459.9779,8439.972,9919.96,9899.954,9879.9509,9859.9451,8443.90939661,8762.88304746,9081.85669831
98,7459.9786,8439.9679,9419.9617,9899.9534,9879.9537,9859.9457,8274.42717119,8423.90239661,8912.34667288
99,6959.9795,8439.9686,9419.9604,9899.9575,9879.9493,9859.9464,7935.43832034,9101.85799831,8742.86514746
100,7459.9778,8939.9704,9419.9631,9899.9533,9879.9466,9859.9449,8443.91799661,8762.86324746,8912.35227288
