iteraties,HCShort4HollandFalse,HCShort5HollandFalse,HCShort6HollandFalse,HCShort7HollandFalse,HCShort4HollandTrue,HCShort5HollandTrue,HCShort6HollandTrue,HCShort7HollandTrue
1,8419.9612,8899.9486,8879.941,8859.9314,8419.9613,8899.9503,8879.9393,9359.9293
2,8419.9605,8899.9503,8879.9396,8859.9288,8419.9612,8399.9526,8879.9417,8859.933
3,8419.9599,8399.9522,9379.9338,8859.934,8419.9556,8899.9491,8879.9422,9359.922
4,8919.9559,8899.9474,8879.9397,8859.93,8419.9595,8899.9488,8879.9402,8859.9316
5,8919.956,8899.9491,9379.9327,8859.9323,8419.9604,9399.9446,9379.9341,9359.9232
6,8919.9559,8899.9478,8879.9396,9359.9268,8419.9603,8899.9499,8879.9414,8859.933
7,8419.9587,8899.9499,9379.9327,9359.9232,8419.9612,8899.9502,8879.9397,9359.9289
8,8419.9603,8899.9481,9379.9372,9359.922,8419.9595,8899.9495,9379.9381,9359.9232
9,8919.956,8899.946,8879.9367,9359.9264,8419.9612,8899.9502,8879.9419,8859.9359
10,8919.9559,8899.9442,8879.938,9359.9277,8419.9613,8899.9463,8879.9428,9359.9283
11,8919.956,8899.9467,8879.9389,9359.9262,8419.9602,8399.9547,8879.9437,9359.9274
12,8919.956,8899.9467,8879.9415,9359.9296,8419.9605,8399.9531,8879.9431,9359.9264
13,8419.961,8899.9502,9379.9372,8859.9334,8919.956,8899.9503,9379.9341,9359.9214
14,8419.9607,8899.9495,8879.941,8859.9346,8419.9603,9399.9446,8879.9431,9359.9258
15,8919.956,8899.9474,8879.9391,9359.928,8419.9611,8899.9491,8879.9396,8859.9317
16,8419.9612,8899.9466,8879.9379,8859.9336,8419.9613,9399.9446,9379.9327,8859.9316
17,8919.9559,8899.9455,8879.9384,9359.9248,8919.956,9399.9446,9379.9365,9359.9284
18,8919.956,8899.9488,8879.9409,8859.9335,8419.961,9399.9446,8879.9413,8859.9319
19,8919.956,8899.9485,8879.9396,9359.9259,8919.956,8899.9497,8879.9402,9359.9307
20,8919.956,8899.9454,8879.9434,8859.9341,8919.956,8899.9467,8879.9434,8859.9311
21,8419.9605,8899.9479,8879.9406,9359.9266,8919.9559,8899.9495,9379.9341,8859.933
22,8919.956,9399.9446,8879.9386,9359.9256,8419.9613,8899.9486,9379.9374,8859.9325
23,8919.9559,9399.9446,9379.9365,9359.9264,8919.9559,8899.9503,8879.9418,9359.9264
24,8919.9559,8899.9437,8879.9417,9359.9264,8419.961,8899.9464,8879.9419,8859.9345
25,8419.9613,8899.9495,9379.9389,8859.9322,8419.9612,8899.9489,8879.9434,9359.9286
26,8919.9559,8899.9495,9379.9338,8859.932,8419.9612,8899.9478,8879.9384,9359.9264
27,8419.9611,8899.9503,8879.9384,9359.9244,8919.9559,8899.9489,8879.9421,9359.9232
28,8919.956,8899.9465,9379.9361,8859.9342,8419.9602,9399.9446,8879.9417,9359.9221
29,8419.9611,8399.9544,8879.9359,9359.9294,8919.9559,8899.9463,9379.9389,8859.9332
30,8919.956,8899.9487,8879.938,9359.9315,8919.956,8899.9465,8879.9402,9359.9266
31,8419.9611,8899.9454,9379.9389,8859.9298,8419.9605,8899.9499,9379.9328,8859.9316
32,8919.956,8899.9445,8879.9388,9359.9211,8419.9602,8399.9538,8879.938,8859.9297
33,8419.9613,8399.9533,8879.941,9359.9324,8419.9613,8899.9489,8879.9432,9359.9294
34,8919.956,8899.9503,8879.9425,9359.9289,8419.961,8899.9497,8879.9397,9359.9234
35,8919.956,8899.9465,8879.9423,9359.9268,8419.9611,8899.9464,8879.9434,8859.9333
36,8919.956,8899.9452,9379.9381,9359.9223,8419.9612,8899.944,8879.9431,9359.9246
37,8919.9559,8899.9494,8879.9407,9359.9289,8419.9612,8899.9495,8879.9404,8859.9317
38,8419.9604,8899.9486,9379.9372,9359.9232,8919.956,8899.9466,8879.9432,9359.9289
39,8919.956,8899.9502,8879.9415,9359.9235,8919.9559,8899.9486,9379.9372,9359.9304
40,8419.9604,8899.9488,8879.9424,8859.9306,8419.9611,8399.953,8879.9417,8859.9305
41,8919.956,8899.9454,8879.9402,9359.9293,8419.9601,8899.9485,8879.9425,9359.9244
42,8419.9603,8899.9494,8879.9422,8859.9349,8419.9613,8899.9467,8879.9414,9359.9232
43,8919.956,8399.9523,8879.9406,8859.9328,8419.9607,8899.9497,8879.941,8859.9332
44,8419.9612,8899.9489,8879.939,8859.9351,8419.9607,8899.9499,9379.9329,8859.9329
45,8919.956,8899.9494,8879.9406,8859.9364,8419.9613,8899.9475,8879.9412,8859.9315
46,8419.9605,8899.9502,8879.9438,9359.93,8919.956,8899.9502,8879.9367,8859.9332
47,8419.9613,8899.9503,8879.9403,8859.9341,8919.956,8899.9466,8879.941,9359.9271
48,8419.9601,8899.9497,8879.9431,8859.9319,8919.956,8899.9478,8879.9381,8859.9323
49,8919.9559,8899.9474,8879.9361,9359.9257,8419.9599,8899.9448,8879.9437,9359.9287
