,iteraties,SARandom2HolllandFalse,SARandom3HolllandFalse,SARandom4HolllandFalse,SARandom5HolllandFalse,SARandom6HolllandFalse,SARandom7HolllandFalse,SARandom2HolllandTrue,SARandom3HolllandTrue,SARandom4HolllandTrue,SARandom5HolllandTrue,SARandom6HolllandTrue,SARandom7HolllandTrue
0,1,7459.9796,8939.966,9919.9582,9899.9589,9879.956,9859.9533,7102.83474286,8868.53682857,9919.9551,9899.9553,9879.9515,9859.9513
1,2,7459.9778,8939.965,9919.9632,9899.9585,9879.9582,9859.9505,7459.9761,9225.67988571,9562.81764286,9899.9585,9879.9488,9859.9465
2,3,7459.9786,8939.9691,9919.9599,9899.9584,9879.9565,9859.9501,7102.83554286,8511.39557143,9562.81614286,9899.9489,9879.9516,9859.9447
3,4,6959.9775,8939.9702,9919.9614,9899.9588,9879.9538,9859.9505,7102.83604286,8868.53802857,9919.9559,9899.9521,9879.9543,9859.9478
4,5,7459.9775,8939.9656,9919.9616,9899.9607,9879.9561,9859.9518,7102.83504286,8868.53742857,9562.81704286,9899.955,9879.9517,9859.9464
5,6,7459.9762,8939.9684,9919.9612,9899.962,9879.9552,9859.949,7459.9768,9225.68048571,9562.81584286,9899.9547,9879.9522,9859.9471
6,7,6959.9781,8939.9648,9919.9569,9899.9618,9879.9532,9859.9564,7102.83494286,8868.53812857,9562.81724286,9899.9539,9879.9561,9859.946
7,8,7459.9782,9439.9677,9919.9615,9899.9602,9879.9569,9859.9481,7459.9768,8868.53792857,9919.9531,9899.9549,9879.9504,9859.9519
8,9,7459.977,8939.9681,9919.965,9899.9586,9879.9619,9859.9512,7102.83414286,8868.53762857,9919.9557,9899.9575,9879.9527,9859.9471
9,10,6959.9799,8939.9683,9919.9637,9899.9596,9879.9554,9859.9514,7459.9768,8868.53742857,9919.9569,9899.9552,9879.9511,9859.9479
