,NL10False,NL11False,NL12False,NL13False,NL14False,NL15False,NL16False,NL17False,NL18False,NL19False,NL20False,SARandom10NederlandTrue,SARandom11NederlandTrue,SARandom12NederlandTrue,SARandom13NederlandTrue,SARandom14NederlandTrue,SARandom15NederlandTrue,SARandom16NederlandTrue,SARandom17NederlandTrue,SARandom18NederlandTrue,SARandom19NederlandTrue,SARandom20NederlandTrue
0,8952.39297288,8932.35967288,9251.33962373,9231.33482373,9380.82184915,9530.27867458,9679.7524,9659.7243,9639.7308,9619.7329,9599.7135,,,,,,,,,,,
1,8782.89854746,9271.34912373,9081.85199831,9231.31782373,9550.28687458,9530.27287458,9510.27927458,9490.26817458,9639.7403,9619.746,9599.7209,,,,,,,,,,,
2,8613.40042203,8932.37957288,8912.35287288,9231.35332373,9380.80664915,9360.82074915,9510.27297458,9659.7557,9639.728,9619.7089,9430.23547458,,,,,,,,,,,
3,8952.37287288,8932.36747288,9081.85489831,9231.35382373,9211.32042373,9530.29497458,9679.7548,9659.7478,9639.7006,9619.7268,9599.716,,,,,,,,,,,
4,8782.89254746,8932.37177288,9081.84929831,9231.32372373,9211.32282373,9530.27587458,9510.26467458,9659.7519,9639.7491,9619.7258,9599.7225,,,,,,,,,,,
0,,,,,,,,,,,,8563.89234382,8431.50069326,8748.57324494,8953.28524607,9045.63759663,8913.25164607,9117.97024719,9097.97574719,9190.30249775,9394.99729888,9374.99269888
1,,,,,,,,,,,,8226.80169213,8543.87504382,8860.91999551,8953.28524607,9270.33519775,9137.98284719,9342.67284831,9210.31329775,9414.99209888,9282.64484831,9487.32744944
2,,,,,,,,,,,,8451.51389326,8656.22449438,8973.29184607,8953.27444607,9045.63019663,9025.62009663,9455.02139888,9435.01179888,9302.66734831,9282.62754831,9374.98709888
3,,,,,,,,,,,,8339.1576427,8543.86224382,8748.58004494,8840.92419551,9270.33869775,9025.62159663,9342.65944831,9322.67824831,9415.02149888,9394.98079888,9487.33694944
4,,,,,,,,,,,,8226.80879213,8768.59454494,8748.57604494,8953.27304607,9157.97514719,9025.61989663,9117.94764719,9322.66034831,9302.63814831,9507.34054944,9374.98659888
